Name,DPIIT Stage,District / City,Focus Industry,Startup India Profile,Source
SKYNAAVIC TECHNOLOGIES PRIVATE LIMITED,Early Traction,Kolkata,Aeronautics Aerospace & Defence,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2fe1f3e4b06921f1d4e361.html,Startup India (DPIIT profile)
AGROWBHARAT PRIVATE LIMITED,Ideation,North 24 Parganas,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2fdad6e4b06921f1d4ddc7.html,Startup India (DPIIT profile)
MEMORION QUANTUM PRIVATE LIMITED,Ideation,North 24 Parganas,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2fac91e4b06921f1d4bc2b.html,Startup India (DPIIT profile)
MACRON TECHNOLOGY PRIVATE LIMITED,Ideation,Kolkata,Aeronautics Aerospace & Defence,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2f9827e4b06921f1d4ac5c.html,Startup India (DPIIT profile)
DELETEWEB LLP,Early Traction,Hooghly,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2ed9f0e4b06921f1d48692.html,Startup India (DPIIT profile)
COASTS & CANVAS LLP,Ideation,Nadia,Fashion,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2d6293e4b06921f1d439b5.html,Startup India (DPIIT profile)
MANTIC CORPORATE CONNECT PRIVATE LIMITED,Ideation,Kolkata,Human Resources,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2d5757e4b06921f1d436c9.html,Startup India (DPIIT profile)
XENBUS PRIVATE LIMITED,Ideation,Kolkata,Robotics,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2d55a8e4b06921f1d43659.html,Startup India (DPIIT profile)
BABU QSR PRIVATE LIMITED,Scaling,Hooghly,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2d2f20e4b06921f1d426a2.html,Startup India (DPIIT profile)
AVIANAFLY PRIVATE LIMITED,Ideation,South 24 Parganas,Travel & Tourism,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2d240be4b06921f1d42264.html,Startup India (DPIIT profile)
AUCTUS DELIVERING GROWTH PRIVATE LIMITED,Ideation,Darjeeling,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2c0f04e4b06921f1d3d858.html,Startup India (DPIIT profile)
ALDOL TECHNOLOGIES PRIVATE LIMITED,Ideation,North 24 Parganas,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2c011ce4b06921f1d3d354.html,Startup India (DPIIT profile)
KATHIKA SERVICES (OPC) PRIVATE LIMITED,Early Traction,Kolkata,Textiles & Apparel,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2be217e4b06921f1d3bf7d.html,Startup India (DPIIT profile)
FOUNDERMITRA LLP,Ideation,Paschim Bardhaman,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2b9e13e4b06921f1d38f9c.html,Startup India (DPIIT profile)
LUMINA NEXGEN SOLUTIONS PRIVATE LIMITED,Validation,North 24 Parganas,Renewable Energy,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2ac8f5e4b06921f1d367fb.html,Startup India (DPIIT profile)
YOURS TRULY COFFEE ROASTER LLP,Ideation,Kolkata,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2aa9a0e4b06921f1d35bae.html,Startup India (DPIIT profile)
MAPLE DIGITAL SERVICE PRIVATE LIMITED,Validation,Nadia,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2a93fbe4b06921f1d34b0d.html,Startup India (DPIIT profile)
SHUTTLE SPEED PARIVAHAN PRIVATE LIMITED,Ideation,North 24 Parganas,Transportation & Storage,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2a80cee4b06921f1d33cc4.html,Startup India (DPIIT profile)
MRIGTRISHNA PRODUCTIONS PRIVATE LIMITED,Ideation,Kolkata,Media & Entertainment,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2a6baee4b06921f1d32df0.html,Startup India (DPIIT profile)
SHUTTERSYNC MEDIA PRIVATE LIMITED,Validation,Purba Medinipur,Media & Entertainment,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2a6442e4b06921f1d32667.html,Startup India (DPIIT profile)
PRAGATI EV PRIVATE LIMITED,Validation,Howrah,Automotive,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a293f4ee4b06921f1d2bf5a.html,Startup India (DPIIT profile)
SSMA APPARELS PRIVATE LIMITED,Scaling,Kolkata,Textiles & Apparel,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a292157e4b06921f1d2ac25.html,Startup India (DPIIT profile)
ANIK THE INDUSTRIAL DEVELOPMENT & TESTING LABORATORY (OPC) PRIVATE LIMITED,Validation,Howrah,Analytics,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a291cd5e4b06921f1d2a9c5.html,Startup India (DPIIT profile)
EASE DRIVE MOBILITY LLP,Early Traction,North 24 Parganas,Transportation & Storage,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a29108ae4b06921f1d29f47.html,Startup India (DPIIT profile)
TRAVELUP HOLIDAYS PRIVATE LIMITED,Validation,Siliguri,Travel & Tourism,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a290ccce4b06921f1d29b73.html,Startup India (DPIIT profile)
TECH UNICO SOLUTIONS PRIVATE LIMITED,Validation,North 24 Parganas,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2866a4e4b06921f1d260cd.html,Startup India (DPIIT profile)
CETOSOFT INFOTECH PRIVATE LIMITED,Ideation,North 24 Parganas,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a286009e4b06921f1d25fc5.html,Startup India (DPIIT profile)
APPARELIO IMPEX PRIVATE LIMITED,Validation,Kolkata,Textiles & Apparel,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a28397ae4b06921f1d24cf8.html,Startup India (DPIIT profile)
ANANTA GLOBAL MARINE AND ENGINEERING PRIVATE LIMITED,Validation,Howrah,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a280a33e4b06921f1d23b4b.html,Startup India (DPIIT profile)
PRO16 INDUSTRIES (OPC) PRIVATE LIMITED,Validation,North 24 Parganas,House-Hold Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a27ea35e4b075ab1c5da816.html,Startup India (DPIIT profile)
AEW POLYEXTRUSION PRIVATE LIMITED,Ideation,Howrah,Chemicals,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a26d93ce4b075ab1c5c654e.html,Startup India (DPIIT profile)
AGARWAL ELECTROSAFE WORKS PRIVATE LIMITED,Ideation,Howrah,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a26c24be4b075ab1c5c5a7c.html,Startup India (DPIIT profile)
CASTLETON SPRING AND ENGINEERING PRIVATE LIMITED,Validation,Kolkata,Other Specialty Retailers,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a26bfc1e4b075ab1c5c5910.html,Startup India (DPIIT profile)
AGAMANI IT SOLUTION PRIVATE LIMITED,Ideation,Paschim Medinipur,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a268c2de4b075ab1c5c3776.html,Startup India (DPIIT profile)
AMRIT HUB PRIVATE LIMITED,Validation,North 24 Parganas,Fashion,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a259660e4b075ab1c5bf836.html,Startup India (DPIIT profile)
DOLMIS LLP,Early Traction,North 24 Parganas,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a246065e4b075ab1c5bc1f2.html,Startup India (DPIIT profile)
SHRIGARGI EMPIRE TRADER PRIVATE LIMITED,Validation,Maldah,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a242161e4b075ab1c5bb4ce.html,Startup India (DPIIT profile)
SIMPLY VEGGIES PRIVATE LIMITED,Ideation,Kolkata,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a23fc4ce4b075ab1c5ba84d.html,Startup India (DPIIT profile)
READYRISE BRIGHT SKILLS PRIVATE LIMITED,Ideation,Darjeeling,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a23f5b2e4b075ab1c5ba5aa.html,Startup India (DPIIT profile)
NONAI SOUND SOLUTIONS (OPC) PRIVATE LIMITED,Ideation,North 24 Parganas,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a23be84e4b075ab1c5b8efb.html,Startup India (DPIIT profile)
Chalk Theory Labs LLP,Ideation,North 24 Parganas,Enterprise Software,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a235417e4b075ab1c5b7d29.html,Startup India (DPIIT profile)
FREEDOMFIRST DEBTSOL PRIVATE LIMITED,Validation,Kolkata,Professional & Commercial Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a22fef3e4b075ab1c5b721c.html,Startup India (DPIIT profile)
BIBOTECTURE PRIVATE LIMITED,Ideation,Kolkata,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a22c974e4b075ab1c5b65b6.html,Startup India (DPIIT profile)
SPIRAFLUX PRIVATE LIMITED,Validation,Purba Medinipur,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a218011e4b075ab1c5b09d2.html,Startup India (DPIIT profile)
SOCRATIC PILLARS EDUCATION LLP,Validation,Kolkata,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a217a54e4b075ab1c5b086b.html,Startup India (DPIIT profile)
VYTRIX UNIFIED VENTURES (OPC) PRIVATE LIMITED,Ideation,Nadia,Retail,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a216aaee4b075ab1c5b037d.html,Startup India (DPIIT profile)
ROKKET TECHNOLOGIES PRIVATE LIMITED,Validation,Kolkata,Media & Entertainment,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2158c3e4b075ab1c5afb9f.html,Startup India (DPIIT profile)
MAA CHAMUNDA BIO FERTILIZER INDUSTRIES PRIVATE LIMITED,Ideation,Maldah,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a21588de4b075ab1c5afb7b.html,Startup India (DPIIT profile)
SHALDARWORX PRIVATE LIMITED,Validation,Nadia,Green Technology,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a214534e4b075ab1c5af07c.html,Startup India (DPIIT profile)
RAJ METAL RECYCLING PRIVATE LIMITED,Ideation,Kolkata,Chemicals,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a214117e4b075ab1c5aee63.html,Startup India (DPIIT profile)
SIDDHANTA POWER AND ENGINEERING PRIVATE LIMITED,Early Traction,Hooghly,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2133f0e4b075ab1c5ae7eb.html,Startup India (DPIIT profile)
AEGISHMS INDIA LLP,Ideation,North 24 Parganas,Enterprise Software,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a211e22e4b075ab1c5adc72.html,Startup India (DPIIT profile)
KAAL BHAIRAVA DYNAMICS PRIVATE LIMITED,Validation,Kolkata,Aeronautics Aerospace & Defence,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a205cb1e4b075ab1c5aba11.html,Startup India (DPIIT profile)
MKR CIVIL CONSTRUCTION,Scaling,Hooghly,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a205742e4b075ab1c5ab8cb.html,Startup India (DPIIT profile)
SIMBAA PLAYZONE,Scaling,Kolkata,Media & Entertainment,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a202629e4b075ab1c5aab79.html,Startup India (DPIIT profile)
BANERGY INDUSTRIES PRIVATE LIMITED,Ideation,Kolkata,Robotics,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a202112e4b075ab1c5aa90a.html,Startup India (DPIIT profile)
RUDRIK TECHNOLOGIES PRIVATE LIMITED,Ideation,North 24 Parganas,Finance Technology,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a2004a8e4b075ab1c5a987a.html,Startup India (DPIIT profile)
KANGITEN HEALTHCARE PRIVATE LIMITED,Early Traction,North 24 Parganas,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1ffd93e4b075ab1c5a940c.html,Startup India (DPIIT profile)
HARI SHYAM CHEMICAL PRIVATE LIMITED,Scaling,Paschim Bardhaman,Chemicals,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1fdde3e4b075ab1c5a8359.html,Startup India (DPIIT profile)
SYNTEQA TECHNOLOGIES PRIVATE LIMITED,Ideation,Kolkata,Human Resources,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1fb3b2e4b061f008ce4b6e.html,Startup India (DPIIT profile)
UYVU AGRO LLP,Ideation,North 24 Parganas,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1f1fb7e4b061f008ccb253.html,Startup India (DPIIT profile)
BHUMIBIOTICS INDUSTRIES PRIVATE LIMITED,Validation,Purba Medinipur,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1ec5c1e4b061f008cc951d.html,Startup India (DPIIT profile)
THE BENGAL CHRONICLE NETWORK LLP,Validation,Birbhum,Media & Entertainment,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1ec0e7e4b061f008cc91c8.html,Startup India (DPIIT profile)
GILLMONT OVERSEAS PRIVATE LIMITED,Ideation,North 24 Parganas,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1eb717e4b061f008cc89f4.html,Startup India (DPIIT profile)
UYVU REALTORS LLP,Ideation,North 24 Parganas,Real Estate,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1da827e4b061f008cc261a.html,Startup India (DPIIT profile)
GENERALQUERY TECHNOLOGIES PRIVATE LIMITED,Validation,Murshidabad,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1d9a86e4b061f008cc2398.html,Startup India (DPIIT profile)
ZAPFLASH INFRAMART PRIVATE LIMITED,Ideation,Kolkata,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1d8498e4b061f008cc1d59.html,Startup India (DPIIT profile)
AVORIDE INDIA PRIVATE LIMITED,Validation,Bankura,Automotive,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1d6f5ee4b061f008cc0eb0.html,Startup India (DPIIT profile)
NAMSO MARINE CONSTRUCTION PRIVATE LIMITED,Validation,Kolkata,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1d5e08e4b061f008cc0638.html,Startup India (DPIIT profile)
CALFOX CONSULTING LLP,Ideation,Kolkata,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1d43d5e4b061f008cbf90a.html,Startup India (DPIIT profile)
ARETE SUSTAINABLE SYNERGIES PRIVATE LIMITED,Early Traction,Kolkata,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1d3f1ce4b061f008cbf6ca.html,Startup India (DPIIT profile)
RYDEX EV LOGISTICS PRIVATE LIMITED,Validation,Howrah,Automotive,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1c44fde4b061f008cbb825.html,Startup India (DPIIT profile)
EDUTIPS INDIA PRIVATE LIMITED,Early Traction,Hooghly,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1c286ee4b061f008cbafa3.html,Startup India (DPIIT profile)
BHATTER APPAREL EXPORTS PRIVATE LIMITED,Validation,Kolkata,Textiles & Apparel,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1bfc65e4b061f008cba038.html,Startup India (DPIIT profile)
GREENERGETIX PRIVATE LIMITED,Validation,North 24 Parganas,Waste Management,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1af122e4b061f008cb6a73.html,Startup India (DPIIT profile)
CSFIRE PROJECTS PRIVATE LIMITED,Scaling,Kolkata,Safety,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1acc16e4b061f008cb58a5.html,Startup India (DPIIT profile)
TRISHIT CONSULTING LLP,Early Traction,North 24 Parganas,Enterprise Software,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1ac4f3e4b061f008cb542a.html,Startup India (DPIIT profile)
EASY SERVICE SOLUTIONS PRIVATE LIMITED,Ideation,Darjeeling,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1ac36ae4b061f008cb52da.html,Startup India (DPIIT profile)
VALUEPORT EXPORTS LLP,Ideation,Kolkata,Professional & Commercial Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1aa0b5e4b061f008cb4016.html,Startup India (DPIIT profile)
DYNADIO PRIVATE LIMITED,Validation,Kolkata,Computer Vision,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1a65d7e4b061f008cb219e.html,Startup India (DPIIT profile)
NODEX8 AI TECHNOLOGIES PRIVATE LIMITED,Validation,Kolkata,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a19c985e4b061f008cb0ec8.html,Startup India (DPIIT profile)
ECO AGRO FARMING PRIVATE LIMITED,Ideation,Howrah,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a198599e4b061f008caf752.html,Startup India (DPIIT profile)
WHERE IS MY MEDICINE PRIVATE LIMITED,Validation,Siliguri,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a197ea4e4b061f008caf319.html,Startup India (DPIIT profile)
ALIVEE FASHION LLP,Ideation,North 24 Parganas,Textiles & Apparel,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a197bb5e4b061f008caf179.html,Startup India (DPIIT profile)
INDOGOO EV PRIVATE LIMITED,Ideation,Murshidabad,Automotive,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1960fde4b061f008cae0fc.html,Startup India (DPIIT profile)
VUMI DIAGNOSTIC PRIVATE LIMITED,Ideation,North 24 Parganas,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a192992e4b061f008cabfd8.html,Startup India (DPIIT profile)
NEXTMACHINE AI LABS PRIVATE LIMITED,Early Traction,South 24 Parganas,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a182749e4b061f008ca8b93.html,Startup India (DPIIT profile)
SPORTITUDE LLP,Early Traction,Kolkata,Sports,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a182722e4b061f008ca8b7a.html,Startup India (DPIIT profile)
GLOBAL TRIDENT ELECTRODE PRIVATE LIMITED,Early Traction,Hooghly,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a180de3e4b061f008ca7bee.html,Startup India (DPIIT profile)
WEMS SECURITY & DD SERVICES PRIVATE LIMITED,Validation,Kolkata,Human Resources,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a180d7de4b061f008ca7b9c.html,Startup India (DPIIT profile)
SONKAR IMPEX INDIA PRIVATE LIMITED,Validation,Hooghly,Art & Photography,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a180b44e4b061f008ca7a16.html,Startup India (DPIIT profile)
INDIZEST GLOBAL PRIVATE LIMITED,Ideation,North 24 Parganas,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a17f1ede4b061f008ca6a9b.html,Startup India (DPIIT profile)
GLOBAL ENERGY SOLUTIONS,Ideation,Kolkata,Renewable Energy,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a17ed9ce4b061f008ca67f3.html,Startup India (DPIIT profile)
GENUINE SUPPLIES AND SERVICES,Early Traction,Kolkata,Transportation & Storage,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a17392fe4b061f008ca21f1.html,Startup India (DPIIT profile)
BLUESTREAM DIALYSIS CENTER (OPC) PRIVATE LIMITED,Ideation,Paschim Medinipur,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a17360be4b061f008ca213b.html,Startup India (DPIIT profile)
ICONX CFO ADVISORS (OPC) PRIVATE LIMITED,Early Traction,Howrah,Finance Technology,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a172bf1e4b061f008ca1e1e.html,Startup India (DPIIT profile)
VHV FASHIONS LLP,Early Traction,Kolkata,Textiles & Apparel,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a16e124e4b061f008ca05e5.html,Startup India (DPIIT profile)
RISING INDIA ENTERPRISES,Early Traction,Howrah,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a16d8e1e4b061f008ca0007.html,Startup India (DPIIT profile)
BBIOCARE PHARMACEUTICAL PRIVATE LIMITED,Ideation,South 24 Parganas,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a16d7afe4b061f008c9ff1f.html,Startup India (DPIIT profile)
SQUARE FONS EXPORTS PRIVATE LIMITED,Ideation,Kolkata,Agriculture,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a16be69e4b061f008c9ef09.html,Startup India (DPIIT profile)
TEESTA CONSTRUCTION AND DEVELOPERS PRIVATE LIMITED,Ideation,Darjeeling,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a169cebe4b061f008c9dc2b.html,Startup India (DPIIT profile)
AZAD MEDICAL INDUSTRIES PRIVATE LIMITED,Validation,Howrah,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a169cb6e4b061f008c9dc02.html,Startup India (DPIIT profile)
PARKAB GLOBAL PRIVATE LIMITED,Early Traction,North 24 Parganas,Technology Hardware,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a168da4e4b061f008c9d06d.html,Startup India (DPIIT profile)
HEALTH VARD GENOMICS PRIVATE LIMITED,Early Traction,Hooghly,Biotechnology,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a15c730e4b061f008c9a0ee.html,Startup India (DPIIT profile)
NEXGLOX PRIVATE LIMITED,Ideation,Hooghly,IT Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1598c8e4b061f008c9942d.html,Startup India (DPIIT profile)
SSBC CONSULTANCY PRIVATE LIMITED,Ideation,South 24 Parganas,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a15925fe4b061f008c9918b.html,Startup India (DPIIT profile)
XCEED PHARMA PRIVATE LIMITED,Validation,North 24 Parganas,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a158f17e4b061f008c98fdf.html,Startup India (DPIIT profile)
PUSHPA GEMS AND JEWELLERY PRIVATE LIMITED,Validation,Howrah,Other Specialty Retailers,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1554b8e4b061f008c96ee2.html,Startup India (DPIIT profile)
GENOVATION TECHNOLOGICAL SOLUTIONS PRIVATE LIMITED,Early Traction,Kolkata,AI,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a154fafe4b061f008c96c18.html,Startup India (DPIIT profile)
HOMOEO WORLD PRIVATE LIMITED,Validation,North 24 Parganas,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a154b49e4b061f008c96995.html,Startup India (DPIIT profile)
FIRSTCHOICE SPECIALITY CHEMICALS PRIVATE LIMITED,Scaling,Kolkata,Chemicals,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1431ede4b061f008c922bd.html,Startup India (DPIIT profile)
JEEKA INDIA LLP,Ideation,Hooghly,Events,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a141e8ce4b061f008c91753.html,Startup India (DPIIT profile)
PATHS & POSSIBILITIES PRIVATE LIMITED,Early Traction,Kolkata,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a141e4ae4b061f008c91726.html,Startup India (DPIIT profile)
BIOTRANSFORM ENERGY SOLUTION PRIVATE LIMITED,Ideation,Paschim Bardhaman,Renewable Energy,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a14107de4b061f008c90e59.html,Startup India (DPIIT profile)
AMATA JUTE TEA LLP,Scaling,Kolkata,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a13fed1e4b061f008c904ad.html,Startup India (DPIIT profile)
ALL INDIA MANAGEMENT SKILL EDUCATION PRIVATE LIMITED,Early Traction,Birbhum,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a13fc34e4b061f008c90353.html,Startup India (DPIIT profile)
DHANANIA'S UDYOG PRIVATE LIMITED,Scaling,Kolkata,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a11a99ce4b061f008c89785.html,Startup India (DPIIT profile)
DGBEAUTY PRIVATE LIMITED,Scaling,Hooghly,Healthcare & Lifesciences,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a118c35e4b061f008c88d87.html,Startup India (DPIIT profile)
ROHA PRECISION SYSTEMS DEVELOPMENT PRIVATE LIMITED,Validation,Paschim Bardhaman,Professional & Commercial Services,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a117cfee4b061f008c8864c.html,Startup India (DPIIT profile)
ADB SKILLS CARE PRIVATE LIMITED,Validation,North 24 Parganas,Education,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a1170b1e4b061f008c88085.html,Startup India (DPIIT profile)
LOKENATH FINOVATE PAYTECH PRIVATE LIMITED,Ideation,Kolkata,Finance Technology,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a116b46e4b061f008c87daf.html,Startup India (DPIIT profile)
ADS ENVO SOLUTIONS PRIVATE LIMITED,Ideation,Siliguri,Waste Management,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a113f0ee4b061f008c86959.html,Startup India (DPIIT profile)
RADHEY INFRA & SERVICES PRIVATE LIMITED,Early Traction,Maldah,Construction,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a107713e4b061f008c8483e.html,Startup India (DPIIT profile)
NITANSI LUEUR PRIVATE LIMITED,Early Traction,Hooghly,Fashion,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a104727e4b061f008c8241b.html,Startup India (DPIIT profile)
NAUTILUS RESTROTAINMENT PRIVATE LIMITED,Scaling,Kolkata,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a101505e4b061f008c7dfd9.html,Startup India (DPIIT profile)
KUNDU ENTERPRISE (OPC) PRIVATE LIMITED,Ideation,North 24 Parganas,Retail,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a0ff182e4b061f008c7c7fe.html,Startup India (DPIIT profile)
AYENDRI FOODS AND SPICES LLP,Ideation,Kolkata,Food & Beverages,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a0fe047e4b061f008c7becd.html,Startup India (DPIIT profile)
DORTRESS PRIVATE TECHNOLOGIES LIMITED,Validation,Kolkata,Security Solutions,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a0fc7f6e4b061f008c7b79e.html,Startup India (DPIIT profile)
ECOSPOTIVA FOUNDATION,Scaling,Kolkata,Sports,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a0f35e1e4b061f008c7a787.html,Startup India (DPIIT profile)
BBN FRESH PRIVATE LIMITED,Ideation,Jalpaiguri,Finance Technology,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a0ee8d4e4b061f008c78b85.html,Startup India (DPIIT profile)
SKYNOVA DRONES PRIVATE LIMITED,Early Traction,Jalpaiguri,Aeronautics Aerospace & Defence,https://www.startupindia.gov.in/content/sih/en/profile.Startup.6a0ed5c5e4b061f008c77fb8.html,Startup India (DPIIT profile)
